n,procs,time
100,1,6.023e-06
100,2,5.8394e-05
100,4,2.612e-05
100,8,0.000160259
1000,1,1.8698e-05
1000,2,3.6678e-05
1000,4,5.3327e-05
1000,8,2.7197e-05
10000,1,0.000140161
10000,2,0.000185335
10000,4,0.000127666
10000,8,8.3848e-05
100000,1,0.00137771
100000,2,0.00130639
100000,4,0.000413969
100000,8,0.000147651
1000000,1,0.0136846
1000000,2,0.0124707
1000000,4,0.00614448
1000000,8,0.00205924
10000000,1,0.129194
10000000,2,0.0806037
10000000,4,0.0503677
10000000,8,0.0198978
100000000,1,0.645006
100000000,2,0.526131
100000000,4,0.384618
100000000,8,0.138515
1000000000,1,4.6492
1000000000,2,4.03246
1000000000,4,1.40697
1000000000,8,1.18998
